is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn,is_contract
0,0,6.84,33.0,0.0,0,11.4,1.6,0,1,0
0,0,6.84,35.5,0.0,0,125.8,9.2,0,1,0
0,0,5.44,18.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,35.5,1.83,0,70.3,9.7,0,0,1
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.35,21.0,0.0,0,0.0,0.0,0,1,0
0,0,6.64,14.0,0.0,2,0.0,0.0,0,1,0
1,0,5.3,35.5,0.0,2,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,16.0,1.82,0,19.4,1.9,0,0,1
0,0,5.53,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,17.0,0.0,0,0.0,0.0,0,1,0
0,0,5.7,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,10.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,0.0,0,10.2,7.4,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,23.0,1.85,0,17.5,5.9,0,0,1
1,0,6.84,33.0,0.0,0,40.9,2.0,0,0,0
0,0,5.7,10.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,16.0,1.56,0,28.3,2.1,0,0,1
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.79,17.0,0.45,0,0.0,0.0,0,1,1
0,0,5.1,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,13.0,0.0,0,0.0,0.0,0,1,0
0,0,5.28,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,0.0,0.0,0,1,0
0,0,6.84,14.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,20.0,1.8,1,62.6,5.2,0,0,1
1,0,6.84,35.5,0.44,0,26.5,2.2,0,0,1
1,1,6.84,10.0,1.21,0,10.1,0.3,0,0,1
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,21.0,0.21,0,48.2,2.9,0,0,1
0,0,6.84,24.0,0.0,0,0.0,0.0,0,1,0
0,0,5.72,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.12,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,6,117.3,11.25,0,0,0
1,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
0,0,6.81,12.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,14.0,0.0,4,11.5,2.0,0,1,0
0,0,6.84,17.0,0.0,0,0.0,0.0,0,1,0
0,0,6.23,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.52,1,141.2,11.25,0,0,1
0,0,6.84,33.0,0.0,2,54.7,3.1,0,0,0
1,1,6.84,35.5,1.1,0,141.2,8.9,0,0,1
1,1,5.99,24.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,0,2.9,0.3,0,0,0
1,1,6.84,35.5,0.0,0,10.8,0.9,0,1,0
0,0,6.84,35.5,0.0,1,95.1,7.0,0,1,0
1,0,6.84,15.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,10.0,1.2,0,26.7,2.6,0,0,1
0,0,6.84,14.0,0.0,1,10.2,0.8,0,1,0
0,0,5.34,35.5,0.0,0,0.0,0.0,0,1,0
1,1,6.84,15.0,1.66,0,2.8,0.2,0,0,1
0,0,6.84,35.5,0.0,0,141.2,11.25,0,1,0
0,0,5.52,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,30.0,0.97,0,141.2,11.25,0,0,1
1,0,6.84,24.0,0.0,1,12.2,1.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,141.2,11.25,0,0,0
1,1,6.29,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,21.0,0.0,0,13.7,1.7,0,1,0
1,1,5.62,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.42,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.35,22.0,0.0,2,0.0,0.0,0,1,0
0,0,6.24,11.0,0.0,0,0.0,0.0,0,1,0
0,0,5.14,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,20.0,0.0,1,2.0,0.2,0,1,0
0,0,6.84,8.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,25.0,0.0,10,77.5,4.8,0,1,0
1,0,6.84,22.0,0.0,5,96.1,5.7,0,1,0
1,0,6.84,22.0,0.0,0,5.0,0.4,0,1,0
0,0,5.64,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.54,0.0,0.0,3,0.0,0.0,3,1,0
0,0,6.84,7.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,35.5,0.46,0,78.2,11.25,0,0,1
1,0,6.83,12.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,20.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,25.0,0.04,0,24.6,3.5,0,0,1
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,15.0,1.26,0,7.1,0.9,0,0,1
1,0,6.84,29.0,0.0,0,18.5,4.0,0,1,0
0,0,5.47,16.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,21.0,1.74,0,111.9,6.6,0,0,1
1,1,6.84,35.5,0.0,2,10.1,1.6,0,1,0
0,0,6.84,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,0,10.0,0.7,0,0,0
1,1,6.84,34.0,1.68,2,141.2,11.25,0,0,1
0,0,6.84,24.0,0.0,0,0.7,0.1,0,0,0
0,0,5.7,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.25,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,24.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,24.0,0.0,0,0.0,0.0,0,1,0
1,0,5.51,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,17.0,1.77,0,14.1,1.0,0,0,1
1,0,6.84,14.0,0.0,0,29.0,2.0,0,1,0
1,0,6.84,21.0,0.12,0,107.3,2.7,0,0,1
0,0,6.26,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,0,11.4,1.6,0,1,0
0,0,5.62,0.0,0.0,0,0.0,0.0,0,1,0
1,0,5.3,12.0,0.0,0,0.0,0.0,3,1,0
1,1,6.84,15.0,1.65,0,5.2,0.2,0,0,1
0,0,6.84,18.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,5.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,10.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,14.0,0.0,0,2.5,0.2,0,1,0
0,0,6.84,22.0,0.0,2,18.1,2.6,0,1,0
0,0,5.34,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,15.0,1.32,1,68.8,3.9,0,0,1
0,0,6.84,21.0,0.33,1,0.0,0.0,0,1,1
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,35.5,1.01,1,113.2,7.6,0,0,1
0,0,5.53,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.61,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,35.5,0.0,0,37.6,5.6,0,1,0
0,0,5.69,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,22.0,1.06,0,11.4,0.5,0,0,1
0,0,5.94,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.47,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.69,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.07,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.43,18.0,0.0,0,0.0,0.0,0,1,0
0,0,6.46,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,0.0,0,7.1,0.8,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.45,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.41,21.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.94,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,20.0,0.0,0,3.0,0.5,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,21.0,0.0,0,4.8,0.1,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.69,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,19.0,1.88,0,52.4,2.2,0,0,1
0,0,5.61,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.25,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,1,19.3,5.2,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.98,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.27,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.61,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.37,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,24.0,0.0,4,3.9,0.4,0,0,0
0,0,6.84,20.0,0.0,0,14.2,0.6,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.28,24.0,0.0,2,0.0,0.0,0,1,0
0,0,5.12,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,10.0,1.26,0,23.6,1.7,0,0,1
1,0,5.98,21.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,32.0,0.99,0,0.0,0.0,0,0,1
0,0,5.42,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,0.0,0,2.9,0.3,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.05,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.63,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,18.0,0.0,0,0.0,0.0,0,1,0
1,0,6.14,12.0,0.0,1,0.0,0.0,0,1,0
1,1,6.84,20.0,0.0,0,0.3,0.7,0,1,0
0,0,5.85,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,12.0,0.0,0,0.0,0.0,0,1,0
1,1,6.55,14.0,0.0,1,0.0,0.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,24.0,0.0,0,37.0,5.8,0,0,0
0,0,5.12,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.03,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,31.0,0.0,0,0.3,0.0,0,0,0
1,1,6.84,24.0,0.0,0,0.1,0.0,0,0,0
1,1,6.84,24.0,1.01,0,36.7,1.9,0,0,1
0,0,5.56,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,7.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,16.0,1.79,0,34.2,2.3,0,0,1
0,0,6.84,1.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,8.0,0.0,1,6.5,0.6,0,1,0
0,0,6.84,22.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,33.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,14.0,0.0,0,14.4,0.8,3,1,0
1,0,6.84,21.0,0.0,0,3.3,0.3,0,1,0
1,0,6.18,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,24.0,0.0,1,27.1,9.4,0,1,0
1,0,6.84,21.0,0.33,0,31.4,5.0,0,0,1
1,1,6.84,35.5,0.0,2,27.1,11.25,0,1,0
0,0,6.08,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.37,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,13.0,0.0,0,1.6,0.2,0,1,0
1,0,6.84,19.0,1.78,1,30.3,1.3,0,0,1
0,0,6.84,32.0,0.0,0,23.2,5.3,0,1,0
1,0,6.84,21.0,1.93,1,125.2,6.6,0,0,1
0,0,6.55,20.0,0.0,2,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,21.0,0.0,1,2.4,0.9,0,1,0
0,0,5.28,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,23.0,0.0,3,0.0,0.0,0,1,0
0,0,6.84,12.0,0.0,0,4.9,0.6,0,1,0
0,0,6.19,35.5,0.0,2,0.0,0.0,0,1,0
1,0,6.84,21.0,0.0,0,2.9,0.1,0,1,0
1,0,6.84,22.0,1.16,0,19.5,2.0,0,0,1
1,1,6.84,10.0,0.57,0,22.3,4.4,0,1,1
0,0,6.84,24.0,0.0,0,7.5,1.5,0,1,0
1,0,6.84,19.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,17.0,1.95,0,7.3,0.8,0,0,1
0,0,5.37,15.0,1.86,0,0.0,0.0,0,1,1
0,0,6.84,0.0,0.0,0,0.0,0.0,7,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,29.0,0.23,0,16.1,1.0,0,0,1
1,1,6.84,20.0,0.37,0,134.6,7.3,0,0,1
0,0,5.73,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,18.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,1.96,0,62.2,5.1,0,0,1
0,0,6.84,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.01,0,141.2,11.25,0,0,1
1,0,6.84,26.0,0.0,0,11.0,2.6,0,1,0
1,0,6.84,25.0,0.21,0,1.9,0.1,0,0,1
0,0,5.55,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,22.0,0.0,0,15.5,1.2,0,1,0
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,20.0,0.0,0,2.1,0.4,0,1,0
1,0,6.84,13.0,0.0,0,12.7,0.6,0,1,0
1,0,6.84,20.0,0.0,2,30.8,2.6,0,1,0
1,0,6.48,35.0,0.0,0,0.0,0.0,0,1,0
0,0,5.44,14.0,0.0,1,0.0,0.0,0,1,0
0,0,5.25,13.0,0.0,0,0.0,0.0,0,1,0
0,0,5.85,22.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,17.0,0.0,1,2.5,0.1,0,1,0
1,0,6.84,22.0,0.07,0,64.1,7.1,0,0,1
1,0,6.84,24.0,0.0,0,60.2,3.3,0,1,0
0,0,5.77,14.0,0.0,0,0.0,0.0,0,1,0
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,21.0,0.0,0,8.0,1.3,0,1,0
1,0,6.84,32.0,0.0,0,5.6,0.3,0,1,0
1,1,6.84,35.5,1.16,0,86.3,2.9,0,0,1
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,22.0,1.44,0,70.2,2.5,0,0,1
0,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,19.0,0.0,0,0.0,0.0,0,1,0
1,0,5.79,14.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.64,20.0,0.0,1,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,0.0,0.0,0,1,0
1,0,6.57,21.0,0.0,0,0.0,0.0,0,1,0
0,0,5.33,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,35.5,0.0,0,39.4,1.7,0,1,0
1,0,6.84,21.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,20.0,0.46,0,105.7,7.9,0,0,1
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,35.5,0.15,0,22.5,1.0,0,0,1
0,0,5.29,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.93,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,14.0,0.0,0,2.0,0.5,0,1,0
0,0,6.84,12.0,0.0,0,2.9,0.1,2,0,0
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.56,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.28,35.5,0.0,0,0.0,0.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,21.0,0.49,0,33.5,11.2,0,0,1
0,0,6.7,23.0,0.53,4,0.0,0.0,0,1,1
0,0,6.84,25.0,0.21,1,22.0,0.8,0,0,1
1,1,6.84,19.0,1.78,2,62.7,5.7,0,0,1
1,0,6.84,20.0,0.0,0,0.0,0.0,0,1,0
1,1,5.22,13.0,0.0,0,0.0,0.0,0,1,0
0,0,5.34,13.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.62,10.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,22.0,1.28,0,35.8,2.1,0,0,1
0,0,6.84,12.0,0.0,0,1.5,0.2,0,1,0
0,0,5.84,15.0,0.0,2,0.0,0.0,0,1,0
0,0,6.84,24.0,0.0,0,120.3,10.0,0,0,0
1,0,6.71,23.0,0.0,2,0.0,0.0,0,1,0
0,0,6.84,23.0,0.0,0,1.5,0.2,0,1,0
0,0,6.84,19.0,0.0,0,1.7,0.3,0,1,0
1,0,6.84,20.0,1.3,1,34.2,5.1,0,0,1
0,0,5.6,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,10.0,1.13,0,7.5,1.1,0,0,1
0,0,5.44,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,23.0,0.0,0,4.2,0.3,0,1,0
0,0,6.84,24.0,0.0,1,0.0,0.0,0,1,0
1,0,6.84,6.0,0.0,0,23.4,1.9,0,1,0
0,0,5.47,21.0,0.0,0,0.0,0.0,0,1,0
0,0,5.5,0.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,23.0,0.0,0,0.5,0.0,0,1,0
1,0,6.84,25.0,0.0,0,34.0,2.3,0,1,0
1,0,6.84,30.0,0.0,0,115.1,7.0,0,1,0
1,0,5.44,21.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,1.17,0,51.4,6.5,0,0,1
1,1,6.84,25.0,1.68,0,51.6,5.1,0,0,1
1,1,6.84,35.5,0.0,0,141.2,11.25,0,0,0
0,0,6.84,12.0,0.0,0,15.0,0.8,0,1,0
1,0,6.84,0.0,0.0,0,0.3,0.0,0,1,0
1,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,20.0,0.54,0,56.4,5.4,0,0,1
1,0,6.84,35.5,0.49,1,141.2,11.25,0,1,1
1,0,6.84,18.0,0.0,0,11.2,0.6,0,1,0
1,0,6.84,0.0,0.0,0,1.8,0.2,5,1,0
1,1,6.84,25.0,0.1,0,10.6,0.8,0,0,1
1,0,6.84,34.0,0.0,0,43.8,7.1,0,1,0
1,0,6.84,33.0,0.0,0,7.7,1.2,0,1,0
0,0,6.67,13.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,3.0,0.0,0,4.3,0.3,1,0,0
1,1,5.7,0.0,0.0,0,0.0,0.0,6,1,0
1,0,6.84,22.0,0.0,0,44.3,5.2,0,1,0
1,0,6.84,24.0,0.0,0,12.6,0.6,0,1,0
0,0,5.81,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,11.6,0.6,6,1,0
0,0,5.34,12.0,0.0,0,0.0,0.0,0,1,0
0,0,5.21,15.0,0.0,0,0.0,0.0,3,1,0
1,1,5.81,0.0,0.0,0,0.0,0.0,6,1,0
1,1,6.84,26.0,1.43,0,53.1,7.6,0,0,1
1,1,6.84,21.0,0.1,1,22.4,3.0,0,0,1
0,0,5.4,0.0,0.0,0,0.0,0.0,0,1,0
1,0,5.91,14.0,0.0,2,0.0,0.0,0,1,0
1,1,5.39,13.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,35.5,0.0,0,38.6,3.0,0,1,0
1,1,6.84,26.0,0.0,1,43.3,1.9,0,1,0
0,0,6.84,20.0,0.0,0,5.1,0.4,0,1,0
0,0,5.87,0.0,1.15,3,0.0,0.0,6,1,1
0,0,5.98,0.0,0.0,1,0.0,0.0,6,1,0
1,0,6.84,20.0,1.61,0,13.1,0.6,0,0,1
1,1,6.84,19.0,1.93,0,38.4,3.1,0,0,1
0,0,6.84,16.0,0.0,0,7.4,0.9,1,1,0
0,0,4.84,12.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,21.0,0.27,0,141.2,11.0,0,0,1
1,0,5.72,23.0,0.0,6,0.0,0.0,0,1,0
0,0,6.84,0.0,0.0,0,0.0,0.0,0,1,0
0,0,5.32,17.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,25.0,0.33,0,36.3,2.0,0,0,1
1,0,6.84,17.0,0.0,0,17.3,1.3,0,1,0
1,0,6.84,25.0,0.0,3,5.3,0.7,0,1,0
1,0,6.84,24.0,0.0,0,2.4,0.1,0,1,0
1,1,6.84,22.0,0.83,3,15.4,1.8,0,0,1
1,1,6.84,21.0,0.43,0,22.3,1.6,0,0,1
1,1,6.84,10.0,1.16,0,50.2,6.3,0,0,1
0,0,5.25,14.0,0.0,0,0.0,0.0,0,1,0
0,0,6.84,17.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,15.0,1.13,0,108.3,5.6,0,0,1
1,0,6.84,12.0,1.02,2,34.6,1.7,0,0,1
0,0,6.84,24.0,0.0,0,6.2,0.4,0,0,0
1,1,6.84,24.0,0.0,0,25.1,1.8,0,1,0
1,0,6.84,35.5,1.86,2,70.2,9.0,0,0,1
1,0,6.84,14.0,0.0,0,4.2,0.5,0,1,0
1,0,6.84,20.0,0.76,0,13.6,0.9,0,0,1
1,1,5.92,12.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,21.0,0.09,1,21.8,2.8,0,0,1
0,0,6.84,15.0,0.0,0,6.0,0.6,0,1,0
1,1,6.84,21.0,0.44,0,44.3,3.1,0,0,1
1,1,6.84,10.0,0.5,1,14.8,3.4,0,1,1
1,1,6.84,15.0,1.64,0,15.0,1.3,0,0,1
0,0,5.61,0.0,0.0,0,0.0,0.0,0,1,0
1,0,5.76,13.0,0.0,0,0.0,0.0,0,1,0
0,0,5.18,24.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,20.0,1.0,0,69.6,4.1,0,0,1
1,1,6.74,0.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,10.0,1.17,0,16.2,0.9,0,0,1
0,0,6.84,24.0,0.0,0,47.9,2.4,0,1,0
1,1,6.3,0.0,0.0,0,0.0,0.0,0,1,0
1,0,6.84,19.0,0.0,0,2.2,0.2,0,1,0
1,0,6.57,13.0,0.0,0,0.0,0.0,0,1,0
0,0,5.24,0.0,0.0,0,0.0,0.0,0,1,0
1,0,4.9,0.0,0.7,0,0.0,0.0,2,1,1
1,1,5.86,19.0,0.0,4,0.0,0.0,0,1,0
1,1,6.84,10.0,1.22,0,16.2,2.8,0,0,1
1,0,6.84,17.0,0.0,0,6.2,0.5,0,1,0
1,1,6.84,21.0,0.05,1,15.4,1.3,0,0,1
1,0,6.84,0.0,0.0,0,22.3,1.6,0,1,0
0,0,6.84,22.0,0.0,1,8.7,0.5,0,1,0
0,0,6.84,20.0,0.0,3,2.1,0.2,0,1,0
0,0,4.67,13.0,0.0,1,0.0,0.0,0,1,0
1,0,6.56,13.0,0.0,0,0.0,0.0,0,1,0
1,1,6.84,22.0,0.0,0,24.1,0.7,0,1,0
1,0,6.1,35.5,0.0,2,0.0,0.0,1,1,0
